tweet_id, favorite_count, retweet_count
892420643555336193,33813,7006
892177421306343426,29329,5301
891815181378084864,22048,3480
891689557279858688,36937,7226
891327558926688256,35313,7758
891087950875897856,17809,2600
890971913173991426,10362,1662
890729181411237888,56865,15753
890609185150312448,24524,3619
890240255349198849,27957,6098
890006608113172480,27035,6153
889880896479866881,24563,4166
889665388333682689,42055,8349
889638837579907072,23677,3715
889531135344209921,13354,1881
889278841981685760,22117,4443
888917238123831296,25638,3760
888804989199671297,22467,3535
888554962724278272,17316,2877
888078434458587136,19151,2892
887705289381826560,26622,4533
887517139158093824,40720,9848
887473957103951883,60191,15024
887343217045368832,29591,8814
887101392804085760,26984,4989
886983233522544640,30384,6316
886736880519319552,10504,2631
886680336477933568,19737,3735
886366144734445568,18549,2629
886267009285017600,105,4
886258384151887873,24524,5286
886054160059072513,0,93
885984800019947520,28613,5611
885528943205470208,31600,5327
885518971528720385,18004,3106
885311592912609280,0,15434
885167619883638784,19253,3669
884925521741709313,67285,15023
884876753390489601,24386,4673
884562892145688576,21321,3909
884441805382717440,23864,4790
884247878851493888,63303,16918
884162670584377345,17945,2505
883838122936631299,19172,2861
883482846933004288,40215,8269
883360690899218434,19947,3078
883117836046086144,32519,5533
882992080364220416,20983,3245
882762694511734784,24789,4094
882627270321602560,24601,5062
882268110199369728,39196,9630
882045870035918850,25728,4080
881906580714921986,21443,2854
881666595344535552,44550,8957
881633300179243008,113,8
881536004380872706,43441,13399
881268444196462592,20480,4492
880935762899988482,15053,2333
880872448815771648,18714,3200
880465832366813184,25033,5212
880221127280381952,23672,3466
880095782870896641,24335,3652
879862464715927552,19703,2928
879674319642796034,282,9
879492040517615616,20706,2628
879415818425184262,92854,37449
879376492567855104,14857,2649
879130579576475649,0,5739
879050749262655488,19798,3955
879008229531029506,16784,2241
878776093423087618,17137,3432
878604707211726852,26439,5926
878404777348136964,0,1077
878316110768087041,0,5526
878281511006478336,6779,1077
878057613040115712,37147,5739
877736472329191424,69278,15804
877611172832227328,0,70
877556246731214848,19907,3168
877316821321428993,24152,4347
877201837425926144,23868,4630
876838120628539392,18211,2804
876537666061221889,21026,3973
876484053909872640,16567,2000
876120275196170240,24688,3903
875747767867523072,22107,3583
875144289856114688,19421,4156
875097192612077568,24247,5114
875021211251597312,22547,3972
874680097055178752,24605,3919
874434818259525634,0,12212
874296783580663808,22969,3481
874057562936811520,20119,3377
874012996292530176,30132,8590
873580283840344065,21380,3343
873337748698140672,0,1331
873213775632977920,6321,1331
872967104147763200,24073,4561
872820683541237760,13072,3166
872620804844003328,18328,3067
872486979161796608,36091,7718
872122724285648897,30235,6826
871879754684805121,33112,9248
871762521631449091,17888,2970
871515927908634625,17892,2940
871166179821445120,0,4892
871102520638267392,18545,4676
871032628920680449,20159,3222
870804317367881728,29792,5283
870726314365509632,105,3
870656317836468226,10889,2206
870374049280663552,73957,22751
870308999962521604,19483,3548
870063196459192321,32419,7076
869772420881756160,38013,8697
869702957897576449,25061,5386
869596645499047938,14209,2639
869227993411051520,18138,3200
868880397819494401,57981,12263
868639477480148993,0,1753
868622495443632128,23642,4471
868552278524837888,8972,1753
867900495410671616,21607,3572
867774946302451713,30276,6256
867421006826221569,14352,2115
867072653475098625,0,101
867051520902168576,28715,6787
866720684873056260,17876,4131
866686824827068416,17136,2972
866450705531457537,108888,30206
866334964761202691,46622,12212
866094527597207552,0,7169
865718153858494464,22934,4850
865359393868664832,23614,4291
865006731092295680,25045,6674
864873206498414592,28868,7499
864279568663928832,13076,2583
864197398364647424,26644,7588
863907417377173506,18439,3592
863553081350529029,13686,3634
863471782782697472,0,2092
863432100342583297,21316,4554
863427515083354112,1961,80
863079547188785154,7899,953
863062471531167744,7526,2092
862831371563274240,17216,4460
862722525377298433,15336,3091
862457590147678208,18288,4254
862096992088072192,66320,20011
861383897657036800,32307,9272
861288531465048066,15358,3592
861005113778896900,14997,3339
860981674716409858,0,1857
860924035999428608,0,678
860563773140209665,6723,1857
860524505164394496,21261,4605
860276583193509888,16592,3073
860184849394610176,15023,5126
860177593139703809,0,26760
859924526012018688,17646,3585
859851578198683649,13977,3070
859607811541651456,16845,1365
859196978902773760,80586,26286
859074603037188101,30452,11974
858860390427611136,0,7085
858843525470990336,14131,3027
858471635011153920,19500,4264
858107933456039936,14244,2540
857989990357356544,14500,2267
857746408056729600,30824,9353
857393404942143489,5310,1444
857263160327368704,18255,3981
857214891891077121,204,16
857062103051644929,0,148
857029823797047296,17054,3493
